,title,release_date,categories,sub_categories,price,img_url,desc,rating,reviews_count
0,COUNTER-STRIKE 2,"AUG 22, 2012",Action;,Multiplayer;,0,https://cdn.cloudflare.steamstatic.com/steam/apps/730/header.jpg?t=1696513856,dummy desc,Very Positive,"7,694,152"
1,EA SPORTS FC™ 24,"SEP 28, 2023",Action;,,"1.090.000,00",https://cdn.cloudflare.steamstatic.com/steam/apps/2195250/header.jpg?t=1697451731,dummy desc,Mixed,"11,131"
2,APEX LEGENDS™,"NOV 5, 2020",Action;,Multiplayer;,0,https://cdn.cloudflare.steamstatic.com/steam/apps/1172470/header.jpg?t=1695930392,dummy desc,Mostly Positive,"732,521"
3,CALL OF DUTY®,"OCT 28, 2022",Action;,Multiplayer;Singleplayer;,0,https://cdn.cloudflare.steamstatic.com/steam/apps/1938090/header.jpg?t=1698003892,dummy desc,Mixed,"248,663"
4,BATTLEFIELD™ 2042,"NOV 19, 2021",Action;,Military;Multiplayer;,"158.500,00",https://cdn.cloudflare.steamstatic.com/steam/apps/1517290/header.jpg?t=1697759908,dummy desc,Mixed,"164,144"
5,PUBG: BATTLEGROUNDS,"DEC 21, 2017",Action;Survival;,Multiplayer;,0,https://cdn.cloudflare.steamstatic.com/steam/apps/578080/header.jpg?t=1694608943,dummy desc,Mixed,"2,231,846"
6,DIABLO® IV,"OCT 18, 2023",Action;,Action RPG;Singleplayer;,"1.260.000,00",https://cdn.cloudflare.steamstatic.com/steam/apps/2344520/header.jpg?t=1697651230,dummy desc,Mixed,"2,142"
7,HOGWARTS LEGACY,"FEB 11, 2023",Action;Adventure;,Open World;Singleplayer;,"903.000,00",https://cdn.cloudflare.steamstatic.com/steam/apps/990080/header.jpg?t=1694060626,dummy desc,Very Positive,"159,309"
8,CYBERPUNK 2077,"DEC 10, 2020",Action;,Open World;Singleplayer;,"990.000,00",https://cdn.cloudflare.steamstatic.com/steam/apps/1091500/header_alt_assets_1.jpg?t=1697461008,dummy desc,Very Positive,"588,322"
9,THE FOREST,"APR 30, 2018",Action;Survival;Horror;,Open World;,"47.000,00",https://cdn.cloudflare.steamstatic.com/steam/apps/242760/header.jpg?t=1666811027,dummy desc,Overwhelmingly Positive,"418,475"
10,DEAD BY DAYLIGHT,"JUN 15, 2016",Action;Horror;,Multiplayer;,"92.000,00",https://cdn.cloudflare.steamstatic.com/steam/apps/381210/header.jpg?t=1697663163,dummy desc,Very Positive,"496,072"
