title,release_date,categories,sub_categories,price,img_url,desc,rating,reviews_count
COUNTER-STRIKE 2,"AUG 22, 2012",Action;,Multiplayer;,0.0,https://cdn.cloudflare.steamstatic.com/steam/apps/730/header.jpg?t=1696513856,dummy desc,4,7694152
EA SPORTS FC™ 24,"SEP 28, 2023",Action;,,1090000.0,https://cdn.cloudflare.steamstatic.com/steam/apps/2195250/header.jpg?t=1697451731,dummy desc,2,11131
APEX LEGENDS™,"NOV 5, 2020",Action;,Multiplayer;,0.0,https://cdn.cloudflare.steamstatic.com/steam/apps/1172470/header.jpg?t=1695930392,dummy desc,3,732521
CALL OF DUTY®,"OCT 28, 2022",Action;,Multiplayer;Singleplayer;,0.0,https://cdn.cloudflare.steamstatic.com/steam/apps/1938090/header.jpg?t=1698003892,dummy desc,2,248663
BATTLEFIELD™ 2042,"NOV 19, 2021",Action;,Military;Multiplayer;,158500.0,https://cdn.cloudflare.steamstatic.com/steam/apps/1517290/header.jpg?t=1697759908,dummy desc,2,164144
PUBG: BATTLEGROUNDS,"DEC 21, 2017",Action;Survival;,Multiplayer;,0.0,https://cdn.cloudflare.steamstatic.com/steam/apps/578080/header.jpg?t=1694608943,dummy desc,2,2231846
DIABLO® IV,"OCT 18, 2023",Action;,Action RPG;Singleplayer;,1260000.0,https://cdn.cloudflare.steamstatic.com/steam/apps/2344520/header.jpg?t=1697651230,dummy desc,2,2142
HOGWARTS LEGACY,"FEB 11, 2023",Action;Adventure;,Open World;Singleplayer;,903000.0,https://cdn.cloudflare.steamstatic.com/steam/apps/990080/header.jpg?t=1694060626,dummy desc,4,159309
CYBERPUNK 2077,"DEC 10, 2020",Action;,Open World;Singleplayer;,990000.0,https://cdn.cloudflare.steamstatic.com/steam/apps/1091500/header_alt_assets_1.jpg?t=1697461008,dummy desc,4,588322
THE FOREST,"APR 30, 2018",Action;Survival;Horror;,Open World;,47000.0,https://cdn.cloudflare.steamstatic.com/steam/apps/242760/header.jpg?t=1666811027,dummy desc,5,418475
DEAD BY DAYLIGHT,"JUN 15, 2016",Action;Horror;,Multiplayer;,92000.0,https://cdn.cloudflare.steamstatic.com/steam/apps/381210/header.jpg?t=1697663163,dummy desc,4,496072
MORTAL KOMBAT 11,"APR 23, 2019",Action;,Multiplayer;,59000.0,https://cdn.cloudflare.steamstatic.com/steam/apps/976310/header.jpg?t=1691103008,dummy desc,4,63868
