,title,release_date,categories,sub_categories,price,img_url,desc,rating,reviews_count
0,COUNTER-STRIKE 2,"AUG 22, 2012",Action;,Multiplayer;,0,https://cdn.cloudflare.steamstatic.com/steam/apps/730/header.jpg?t=1696513856,dummy desc,4,"7,694,152"
1,EA SPORTS FC™ 24,"SEP 28, 2023",Action;,,"1.090.000,00",https://cdn.cloudflare.steamstatic.com/steam/apps/2195250/header.jpg?t=1697451731,dummy desc,2,"11,131"
2,APEX LEGENDS™,"NOV 5, 2020",Action;,Multiplayer;,0,https://cdn.cloudflare.steamstatic.com/steam/apps/1172470/header.jpg?t=1695930392,dummy desc,3,"732,521"
3,CALL OF DUTY®,"OCT 28, 2022",Action;,Multiplayer;Singleplayer;,0,https://cdn.cloudflare.steamstatic.com/steam/apps/1938090/header.jpg?t=1698003892,dummy desc,2,"248,663"
4,BATTLEFIELD™ 2042,"NOV 19, 2021",Action;,Military;Multiplayer;,"158.500,00",https://cdn.cloudflare.steamstatic.com/steam/apps/1517290/header.jpg?t=1697759908,dummy desc,2,"164,144"
5,PUBG: BATTLEGROUNDS,"DEC 21, 2017",Action;Survival;,Multiplayer;,0,https://cdn.cloudflare.steamstatic.com/steam/apps/578080/header.jpg?t=1694608943,dummy desc,2,"2,231,846"
6,DIABLO® IV,"OCT 18, 2023",Action;,Action RPG;Singleplayer;,"1.260.000,00",https://cdn.cloudflare.steamstatic.com/steam/apps/2344520/header.jpg?t=1697651230,dummy desc,2,"2,142"
7,HOGWARTS LEGACY,"FEB 11, 2023",Action;Adventure;,Open World;Singleplayer;,"903.000,00",https://cdn.cloudflare.steamstatic.com/steam/apps/990080/header.jpg?t=1694060626,dummy desc,4,"159,309"
8,CYBERPUNK 2077,"DEC 10, 2020",Action;,Open World;Singleplayer;,"990.000,00",https://cdn.cloudflare.steamstatic.com/steam/apps/1091500/header_alt_assets_1.jpg?t=1697461008,dummy desc,4,"588,322"
9,THE FOREST,"APR 30, 2018",Action;Survival;Horror;,Open World;,"47.000,00",https://cdn.cloudflare.steamstatic.com/steam/apps/242760/header.jpg?t=1666811027,dummy desc,5,"418,475"
10,DEAD BY DAYLIGHT,"JUN 15, 2016",Action;Horror;,Multiplayer;,"92.000,00",https://cdn.cloudflare.steamstatic.com/steam/apps/381210/header.jpg?t=1697663163,dummy desc,4,"496,072"
11,MORTAL KOMBAT 11,"APR 23, 2019",Action;,Multiplayer;,"59.000,00",https://cdn.cloudflare.steamstatic.com/steam/apps/976310/header.jpg?t=1691103008,dummy desc,4,"63,868"
12,BALDUR'S GATE 3,"AUG 3, 2023",Adventure;,,"990.000,00",https://cdn.cloudflare.steamstatic.com/steam/apps/1086940/header.jpg?t=1696948801,dummy desc,5,"337,096"
13,NEW WORLD,"SEP 28, 2021",Adventure;,Open World;,"1.000.000,00",https://cdn.cloudflare.steamstatic.com/steam/apps/1063730/header.jpg?t=1695753023,dummy desc,3,"227,383"
14,GRAND THEFT AUTO V,"APR 14, 2015",Adventure;Action;,Open World;Multiplayer;,"227.000,00",https://cdn.cloudflare.steamstatic.com/steam/apps/271590/header.jpg?t=1695060909,dummy desc,4,"1,504,366"
15,BATMAN™: ARKHAM KNIGHT,"JUN 24, 2015",Adventure;Action;,Open World;,"37.500,00",https://cdn.cloudflare.steamstatic.com/steam/apps/208650/header.jpg?t=1694042300,dummy desc,4,"69,136"
16,SONS OF THE FOREST,"FEB 24, 2023",Adventure;Survival;,Open World;Multiplayer;,"308.000,00",https://cdn.cloudflare.steamstatic.com/steam/apps/1326470/header.jpg?t=1697048131,dummy desc,4,"132,379"
17,EURO TRUCK SIMULATOR 2 - WEST BALKANS,"OCT 20, 2023",Adventure;Simulation;,Open World;Multiplayer;,"249.000,00",https://cdn.cloudflare.steamstatic.com/steam/apps/2004210/header.jpg?t=1697798746,dummy desc,4,673
18,STAR WARS JEDI: SURVIVOR™,"APR 28, 2023",Adventure;Action;,Singleplayer;,"708.500,00",https://cdn.cloudflare.steamstatic.com/steam/apps/1774580/header.jpg?t=1689016715,dummy desc,2,"35,097"
19,RUST,"FEB 9, 2018",Adventure;Survival;,Multiplayer;Open World;,"510.000,00",https://cdn.cloudflare.steamstatic.com/steam/apps/252490/header.jpg?t=1693652810,dummy desc,4,"796,126"
20,MIDDLE-EARTH™: SHADOW OF WAR™,"OCT 10, 2017",Adventure;Action;,Open World;Singleplayer;,"72.000,00",https://cdn.cloudflare.steamstatic.com/steam/apps/356190/header.jpg?t=1575317164,dummy desc,4,"67,633"
21,DON'T STARVE TOGETHER,"APR 21, 2016",Adventure;Survival;,Multiplayer;Open World;,"56.000,00",https://cdn.cloudflare.steamstatic.com/steam/apps/322330/header_alt_assets_41.jpg?t=1697740612,dummy desc,5,"284,849"
22,LOVE IS ALL AROUND,"OCT 18, 2023",Role-Playing;Visual Novel;,Singleplayer;,"128.000,00",https://cdn.cloudflare.steamstatic.com/steam/apps/2322560/header.jpg?t=1697985621,dummy desc,4,"2,882"
